sentiment_group,days,avg_daily_pnl,median_daily_pnl,avg_win_rate,avg_trade_count,avg_unique_traders,avg_trade_size_usd,avg_total_volume_usd,avg_long_short_ratio
Fear,1,6699925.190574,6699925.190574,0.41514592406122314,133871.0,32.0,5259.977836723413,704158492.98,0.9747897920047205
Greed,4,841645.5067875,88560.4975655,0.30408371705387643,10812.75,9.25,4956.679787538842,38727610.525,0.8532769152730734
Neutral,1,158742.378078,158742.378078,0.3171824674415348,7141.0,8.0,3058.8481095084726,21843234.35,0.963971397139714
